Gene,PD_001,PD_002,PD_003,PD_004,PD_005,PD_006,PD_007,PD_008,PD_009,PD_010,PD_011,PD_012,PD_013,PD_014,PD_015,PD_016,PD_017,PD_018,PD_019,PD_020,PD_021,PD_022,PD_023,PD_024,PD_025,PD_026,PD_027,PD_028,PD_029,PD_030
SEC24B-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,806,356,1187,0,9,3692,0,0,1849,2505,8490,2577,387,0,0,211,556,167,1981,2832,8278,4026,1497,4294,3699,3687,2577,398,7451,456
A2ML1,0,193,0,0,24,0,0,0,32,0,0,141,0,0,352,484,0,1,383,73,126,0,131,243,42,0,0,148,6,9
A2MP1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,509,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,81,3,0,0,0,0,0,0,0,0,0,14,0,0,0,153,149,7,8,27,135,0,41,0,93,0,0,36,0,0
AACS,1727,540,4,1653,665,0,0,0,1837,0,0,461,0,0,0,1319,0,96,1253,1697,965,1596,1241,429,339,0,0,332,2231,356
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,39,2,17,0,0,0,0,0,0,0,0,0
AADACL3,1094,506,564,0,1288,1508,0,0,1515,0,0,21,1252,886,2847,368,1083,73,719,457,0,0,2234,2801,6152,1089,1842,1069,418,1259
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAGAB,376,92,0,0,29,0,0,0,92,0,0,73,0,0,776,101,640,136,276,360,218,0,697,1223,1020,811,0,371,0,152
AAK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,52,0,48,0,0,27,0,0,0,0,131,0,61
AAMP,294,150,298,0,54,585,0,0,437,0,0,115,178,0,0,309,749,146,326,317,455,638,403,177,0,141,0,95,0,0
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,3,0,0,0,0,0,0,0,1608,0,0,415,1314,0,0,692,0,178,270,881,0,446,533,378,0,0,0,310,0,57
AARS2,0,233,0,0,0,0,0,0,354,0,0,278,0,0,0,0,0,56,119,39,654,598,132,0,145,0,0,0,0,276
PTGES3L-AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
AASDHPPT,141,93,353,0,546,0,0,0,624,0,0,63,268,1,0,0,0,125,108,510,158,77,407,0,445,417,0,322,0,0
AASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,395,179,116,0,42,0,0,0,148,422,891,240,323,0,0,1330,1671,929,586,422,385,557,746,1412,506,1932,0,443,0,1359
AATK,61,1806,1295,1808,1437,0,0,0,804,0,0,1103,87,0,0,544,2076,2660,801,126,704,0,357,274,0,978,0,1621,166,241
ABAT,2,472,469,0,0,0,0,0,97,0,0,206,459,0,0,1,2342,133,101,548,0,0,320,0,0,0,0,0,0,0
ABCA1,691,846,271,0,871,6,1068,0,621,0,0,333,1659,0,0,155,278,1207,1125,951,423,1432,215,127,242,512,0,916,392,536
ABCA10,0,0,0,0,0,0,0,0,1,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA12,1639,2556,0,0,1071,0,0,0,1309,0,0,5054,0,0,0,1940,1284,90,9265,10604,7570,1,899,3395,1862,0,2050,568,3058,332
ABCA13,0,4,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,13,37,447,854,0,369,0,0,0,0,0,0,0
ABCA17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA2,0,494,0,0,198,0,0,0,0,0,0,406,0,0,0,189,0,204,70,80,106,659,145,0,0,0,0,472,0,0
ABCA3,3,173,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,14,52,0,0,0,0,0,0,0,0,0,0,0
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0
ABCA5,8,13,0,0,3,0,0,4,4,0,0,9,1,0,0,38,0,5,27,8,53,151,0,0,0,0,0,0,0,0
ABCA6,394,0,0,0,0,0,0,0,0,0,876,86,0,0,0,0,218,0,12,444,171,479,203,0,0,0,0,117,0,31
ABCA7,112,199,461,705,88,0,0,0,0,524,0,145,80,0,0,43,0,352,119,2,0,111,0,0,0,0,0,18,0,48
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,0,0,0,0,0,0,0,0,647,0,0,59,0,0,0,264,0,73,47,288,0,1178,565,0,0,0,0,0,0,357
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,41,0,0,0,0,0,0,0,0,0,8,1320,0,0,0,0,33,0,189,0,0,0,0,0,788,0,17,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,0,78,0,0,0,0,0,0,4,0,31,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,0,64,0,0,0,0,0,0,26,0,0,67,0,0,0,313,0,41,68,77,223,187,62,0,0,3,0,0,180,15
ABCB8,2,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,9,3,0,19,16,0,0,0,0
ABCB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC1,263,262,17,0,466,0,0,0,304,0,0,354,1712,0,0,0,731,195,529,323,2220,921,699,0,0,162,0,217,1580,202
ABCC10,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,20,64,155,0,0,235,0,0,0,0,0,0,9
ABCC11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,27
ABCC3,68,64,0,0,0,0,0,0,141,0,0,155,0,0,0,441,464,2,276,230,0,77,0,0,479,0,0,0,0,107
ABCC4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0
ABCC5,0,41,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,0,0,43
ABCC6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,0,0,559,0,87,0,0,0,82,0,0,359,524,0,0,670,0,78,70,424,0,321,0,0,1230,1068,0,81,0,206
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,17,0,0,0,0,0,0
ABCD3,197,176,0,0,186,0,0,0,65,0,0,385,0,0,0,0,191,37,533,129,808,345,479,691,855,0,0,1,0,542
ABCD4,56,0,0,0,0,0,0,0,159,0,0,204,0,0,0,19,0,92,119,360,0,313,0,0,0,464,0,0,92,170
ABCE1,9,52,40,0,0,0,18,0,304,0,0,96,632,0,0,0,128,98,86,337,64,449,432,231,0,448,0,119,1367,290
ABCF1,215,154,0,0,156,645,0,0,297,160,0,201,0,0,0,435,146,692,381,542,317,381,968,603,568,0,417,225,0,732
ABCF2,1,112,3,910,53,3201,0,1,365,4,0,198,0,0,0,179,0,107,441,163,0,272,202,425,0,0,0,185,0,143
ABCF3,53,26,0,0,0,0,0,0,90,0,204,13,107,0,0,0,0,44,90,65,346,201,55,0,282,0,0,0,166,107
ABCG1,0,2,3,3,0,0,0,0,1,0,0,0,0,0,0,5,16,2,3,2,3,0,1,0,7,0,1,5,0,3
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ABCG4,0,0,0,0,0,0,0,553,111,0,0,235,96,647,0,0,0,2,159,0,0,128,0,0,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,34,0,0,2,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,2,0,6
ABHD10,25,31,0,180,0,0,0,0,3,0,0,21,1,14,0,0,0,17,69,56,0,253,45,248,0,0,0,0,0,39
ABHD11,0,20,7,0,75,0,0,0,39,0,0,4,0,0,0,0,0,8,198,0,0,86,143,0,0,0,0,54,0,0
ABHD12,329,241,338,0,714,946,0,0,658,613,1394,414,0,0,3,657,305,85,1424,966,1702,1894,1861,1560,1745,135,0,890,756,201
ABHD12B,2,0,1,0,1,0,0,0,4,0,0,0,0,0,0,33,15,0,1,0,16,0,26,40,46,0,0,3,0,1
ABHD13,0,21,27,0,11,0,0,0,14,0,0,11,42,0,92,25,0,63,40,0,35,184,71,88,137,0,0,38,0,143
ABHD14A,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,24,0,45,0,0,4,0,8
ABHD14B,319,378,534,0,964,705,0,6,1211,2998,17,237,2,689,2304,364,0,133,512,1424,299,160,1905,1463,485,1034,0,782,0,594
ABHD15,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,906,948,598,0,317,0,0,0,390,0,0,824,830,0,0,362,540,857,479,1078,505,451,341,0,0,9,0,678,2350,696
ABHD16B,794,273,0,408,170,493,0,0,50,0,0,231,89,0,0,97,685,229,296,298,64,113,0,0,0,0,0,241,0,0
ABHD2,127,1795,1193,0,1171,0,0,0,417,0,0,927,793,0,0,2194,1257,3930,1432,995,973,1897,2112,491,1439,3235,0,3214,0,2737
ABHD3,4,1664,265,0,1573,0,0,0,614,0,0,727,1801,0,0,1289,340,922,439,91,0,129,162,0,0,378,1680,1821,0,916
ABHD4,223,255,0,0,159,0,0,1,628,0,0,323,0,0,0,66,0,355,107,211,185,289,0,0,436,122,0,492,323,537
ABHD5,5749,5359,6191,1225,5450,6104,1,1886,11955,2093,233,807,1994,2489,20042,8257,3264,849,5621,8533,4767,284,17147,27497,10353,7018,10322,7386,2419,5208
ABHD6,0,109,0,0,0,0,0,0,240,2295,0,170,0,0,0,116,0,74,118,120,230,907,0,348,0,0,0,0,0,0
ABHD8,0,956,1320,0,1272,1891,551,0,2729,0,0,121,2,582,3284,2862,930,53,1114,2216,463,136,4447,2575,1526,399,2302,951,307,528
ABI1,1,770,617,0,493,2285,0,0,785,3498,0,3206,0,539,2531,2152,0,1416,1886,1923,1242,1728,1510,7626,3,6172,1687,775,1053,1650
ABI2,43,35,28,0,0,42,0,0,220,0,0,4,0,0,0,0,0,1,10,43,0,110,0,239,0,240,0,0,0,0
ABI3,199,19,0,0,287,0,0,0,403,0,5352,378,0,0,0,0,0,279,130,947,0,1722,584,498,0,0,0,168,0,123
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL1,662,124,175,0,0,2,1896,0,270,0,0,351,0,0,0,529,0,105,99,0,0,376,967,0,0,0,0,333,0,114
ABL2,4,3,0,0,1,5,0,0,0,26,0,2,2,0,0,27,12,1,1,7,0,26,5,30,7,7,0,2,0,6
ABLIM1,1,124,0,0,99,0,0,0,460,0,0,20,986,606,860,284,0,16,385,232,347,0,805,668,280,0,2103,1,852,73
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLIM3,0,0,0,0,10,11,0,0,11,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,8,0,0
ABO,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABP1,0,21,292,0,0,0,0,0,0,0,0,31,947,0,0,0,0,26,117,0,0,0,0,0,0,0,0,164,0,33
ABR,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,69,0,6,20,0,0,0,3,0,318,0,0,0,0,0
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT1,904,245,388,0,378,0,0,0,877,0,952,339,0,0,0,0,0,399,1005,969,0,194,508,0,476,791,0,259,0,474
ABTB1,64,8377,4888,26,4558,2538,109,0,1227,2219,0,3150,1220,606,4366,1140,1404,4466,3393,2777,1405,0,569,382,0,2788,0,2936,920,3782
ABTB2,964,649,710,0,654,962,0,0,1606,0,327,267,0,0,3210,256,524,86,835,972,987,14,1112,2514,495,1350,2276,483,0,616
ACAA1,905,1046,874,521,1860,0,0,0,2208,947,0,758,1957,0,1187,2246,1472,1145,1476,781,564,0,2456,1737,1770,600,0,792,857,884
ACAA2,502,491,548,293,532,541,0,0,1139,0,0,228,0,0,2543,1921,101,84,624,1164,497,87,1159,4208,5151,158,0,833,0,284
ACACA,759,322,0,0,1,1407,0,0,96,0,0,218,0,0,0,0,234,22,325,165,157,359,963,761,0,0,0,286,998,0
ACACB,0,0,0,0,0,0,0,0,120,0,0,7,0,0,0,0,0,12,0,0,0,0,134,0,0,0,0,0,0,0
ACAD10,0,9,77,0,0,0,0,0,0,0,0,18,801,0,0,0,0,6,67,2,0,44,58,0,0,0,0,0,0,1
ACAD8,232,124,21,0,41,0,0,0,296,0,0,53,0,205,222,416,206,19,254,522,146,232,435,528,1339,548,495,234,665,174
ACAD9,1094,361,596,0,66,0,0,0,494,0,0,393,831,0,405,310,179,112,928,517,834,144,761,1771,215,591,0,0,0,44
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,3,12,10,0,10,0,0,0,26,0,0,2,11,0,42,106,22,4,18,30,0,0,130,571,94,19,0,21,18,9
ACADS,0,124,0,0,93,27,0,0,0,0,0,39,0,0,0,0,0,20,116,76,0,0,0,0,0,0,0,145,0,114
ACADSB,0,0,0,0,20,0,0,0,10,0,0,17,0,0,0,0,0,0,8,13,0,59,0,0,0,0,0,0,0,10
ACADVL,166,66,17,0,59,127,65,0,294,0,0,49,165,37,524,513,194,18,106,279,238,80,561,548,696,151,334,156,108,85
ACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP1,264,437,353,1881,32,0,0,0,0,0,0,268,0,0,59,555,0,774,205,477,0,703,16,251,0,0,0,0,1087,131
ACAP2,254,1142,1335,0,58,670,0,0,921,0,0,991,2898,0,1,921,0,1632,1008,804,1458,1063,1434,980,756,1258,3010,1015,499,1658
ACAP3,239,42,102,0,0,0,0,0,0,0,0,34,0,0,0,189,0,91,131,44,206,1,110,0,288,0,1073,34,0,41
ACAT1,0,42,31,0,17,0,0,0,247,0,0,25,0,0,0,0,405,32,193,181,51,140,237,1316,0,0,0,416,0,80
ACAT2,785,570,659,0,1582,1278,0,0,1987,0,0,131,0,0,4316,1140,2813,565,1232,1380,1150,82,1858,4353,1256,471,1074,2482,413,773
ACBD3,200,842,1075,0,377,0,0,0,812,925,0,1777,1333,0,853,103,1169,496,1154,1504,327,2576,1321,1598,400,284,0,898,3573,1138
ACBD4,0,0,0,0,0,309,0,0,0,0,0,4,0,35,0,7,0,18,60,0,12,0,0,0,0,0,0,0,0,0
ACBD5,101,74,0,0,380,0,0,0,557,0,0,218,10,295,0,309,0,179,307,410,290,402,62,77,492,999,0,419,0,750
ACBD6,0,16,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,17,8,18,0,38,40,37,55,56,0,0,0,0
ACBD7,0,0,0,0,5,0,0,0,1,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASIC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIC3,0,0,0,0,0,0,594,0,135,0,0,0,0,0,0,0,0,0,88,124,0,0,80,0,0,0,0,0,0,178
